gene_id,gene_symbol,seqid,source,type,start,end,strand,attributes,ID,Parent,Name,biotype,tag,transcript_id,transcript_support_level,version,tss,tes,transcript_stable_id,ccdsid
ENSG00000140718,FTO,16,havana,mRNA,53701692,54008560,+,ID=transcript:ENST00000636491;Parent=gene:ENSG00000140718;Name=FTO-215;biotype=protein_coding;tag=gencode_basic;transcript_id=ENST00000636491;transcript_support_level=5;version=1,transcript:ENST00000636491,gene:ENSG00000140718,FTO-215,protein_coding,gencode_basic,ENST00000636491,5,1,53701692,54008560,ENST00000636491,
ENSG00000140718,FTO,16,havana,mRNA,53703963,53937889,+,ID=transcript:ENST00000636218;Parent=gene:ENSG00000140718;Name=FTO-214;biotype=protein_coding;tag=gencode_basic;transcript_id=ENST00000636218;transcript_support_level=5;version=1,transcript:ENST00000636218,gene:ENSG00000140718,FTO-214,protein_coding,gencode_basic,ENST00000636218,5,1,53703963,53937889,ENST00000636218,
ENSG00000140718,FTO,16,havana,mRNA,53703963,53979499,+,ID=transcript:ENST00000637001;Parent=gene:ENSG00000140718;Name=FTO-217;biotype=protein_coding;tag=gencode_basic;transcript_id=ENST00000637001;transcript_support_level=5;version=2,transcript:ENST00000637001,gene:ENSG00000140718,FTO-217,protein_coding,gencode_basic,ENST00000637001,5,2,53703963,53979499,ENST00000637001,
ENSG00000140718,FTO,16,havana,mRNA,53703963,54153406,+,ID=transcript:ENST00000637969;Parent=gene:ENSG00000140718;Name=FTO-222;biotype=protein_coding;tag=gencode_basic;transcript_id=ENST00000637969;transcript_support_level=5;version=2,transcript:ENST00000637969,gene:ENSG00000140718,FTO-222,protein_coding,gencode_basic,ENST00000637969,5,2,53703963,54153406,ENST00000637969,
ENSG00000140718,FTO,16,havana_tagene,mRNA,53703963,54114468,+,ID=transcript:ENST00000918264;Parent=gene:ENSG00000140718;Name=FTO-223;biotype=protein_coding;tag=gencode_basic;transcript_id=ENST00000918264;version=2,transcript:ENST00000918264,gene:ENSG00000140718,FTO-223,protein_coding,gencode_basic,ENST00000918264,,2,53703963,54114468,ENST00000918264,
ENSG00000140718,FTO,16,havana_tagene,mRNA,53703963,54114463,+,ID=transcript:ENST00000918265;Parent=gene:ENSG00000140718;Name=FTO-224;biotype=protein_coding;tag=gencode_basic;transcript_id=ENST00000918265;version=2,transcript:ENST00000918265,gene:ENSG00000140718,FTO-224,protein_coding,gencode_basic,ENST00000918265,,2,53703963,54114463,ENST00000918265,
ENSG00000140718,FTO,16,havana_tagene,mRNA,53703963,54112605,+,ID=transcript:ENST00000918266;Parent=gene:ENSG00000140718;Name=FTO-225;biotype=protein_coding;tag=gencode_basic;transcript_id=ENST00000918266;version=2,transcript:ENST00000918266,gene:ENSG00000140718,FTO-225,protein_coding,gencode_basic,ENST00000918266,,2,53703963,54112605,ENST00000918266,
ENSG00000140718,FTO,16,havana_tagene,mRNA,53703963,54114465,+,ID=transcript:ENST00000996439;Parent=gene:ENSG00000140718;Name=FTO-226;biotype=protein_coding;tag=gencode_basic;transcript_id=ENST00000996439;version=1,transcript:ENST00000996439,gene:ENSG00000140718,FTO-226,protein_coding,gencode_basic,ENST00000996439,,1,53703963,54114465,ENST00000996439,
ENSG00000140718,FTO,16,havana_tagene,mRNA,53703963,54114468,+,"ID=transcript:ENST00000996440;Parent=gene:ENSG00000140718;Name=FTO-227;biotype=protein_coding;tag=gencode_basic,gencode_primary;transcript_id=ENST00000996440;version=1",transcript:ENST00000996440,gene:ENSG00000140718,FTO-227,protein_coding,"gencode_basic,gencode_primary",ENST00000996440,,1,53703963,54114468,ENST00000996440,
ENSG00000140718,FTO,16,havana_tagene,mRNA,53703963,54114459,+,ID=transcript:ENST00000996441;Parent=gene:ENSG00000140718;Name=FTO-228;biotype=protein_coding;tag=gencode_basic;transcript_id=ENST00000996441;version=1,transcript:ENST00000996441,gene:ENSG00000140718,FTO-228,protein_coding,gencode_basic,ENST00000996441,,1,53703963,54114459,ENST00000996441,
ENSG00000140718,FTO,16,havana_tagene,mRNA,53703963,54113404,+,ID=transcript:ENST00000996442;Parent=gene:ENSG00000140718;Name=FTO-229;biotype=protein_coding;tag=gencode_basic;transcript_id=ENST00000996442;version=1,transcript:ENST00000996442,gene:ENSG00000140718,FTO-229,protein_coding,gencode_basic,ENST00000996442,,1,53703963,54113404,ENST00000996442,
ENSG00000140718,FTO,16,havana_tagene,mRNA,53703963,54114457,+,ID=transcript:ENST00001049186;Parent=gene:ENSG00000140718;Name=FTO-231;biotype=protein_coding;tag=gencode_basic;transcript_id=ENST00001049186;version=1,transcript:ENST00001049186,gene:ENSG00000140718,FTO-231,protein_coding,gencode_basic,ENST00001049186,,1,53703963,54114457,ENST00001049186,
